Name;Coded Text
Accept and Confirm;A queue of cars, right
Accept and Confirm;Alright
Accept and Confirm;Alright.
Accept and Confirm;Alright. Okay
Accept and Confirm;Alright.1
Accept and Confirm;I believe we can.
Accept and Confirm;It seems like it
Accept and Confirm;It's distributed, okay.
Accept and Confirm;Oh, right
Accept and Confirm;Okay
Accept and Confirm;Okay 
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay 
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay
Accept and Confirm;Okay so 
Accept and Confirm;Okay,
Accept and Confirm;Okay, alright
Accept and Confirm;Okay, I like that.
Accept and Confirm;Okay, yeah.
Accept and Confirm;Okay.
Accept and Confirm;Okay.
Accept and Confirm;Okay.
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right 
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right
Accept and Confirm;Right,
Accept and Confirm;Right,
Accept and Confirm;Right, and then figure out
Accept and Confirm;Right, right
Accept and Confirm;Right, yeah
Accept and Confirm;Right.
Accept and Confirm;Right.
Accept and Confirm;Right.
Accept and Confirm;Right.
Accept and Confirm;Right.
Accept and Confirm;Right.
Accept and Confirm;Right. Exactly.
Accept and Confirm;Right. Okay
Accept and Confirm;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because I don't think, I'm trying to
Accept and Confirm;So they can build on.
Accept and Confirm;So, controller -ê okay
Accept and Confirm;Sure. Sure, so let's establish
Accept and Confirm;That's right.
Accept and Confirm;That's true.
Accept and Confirm;Well, that could be, maybe the cop -
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah 
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah
Accept and Confirm;Yeah and also
Accept and Confirm;Yeah okay
Accept and Confirm;Yeah sure
Accept and Confirm;Yeah there could be two
Accept and Confirm;Yeah,
Accept and Confirm;Yeah, 
Accept and Confirm;Yeah,
Accept and Confirm;Yeah,
Accept and Confirm;Yeah,
Accept and Confirm;Yeah,
Accept and Confirm;Yeah,
Accept and Confirm;Yeah,
Accept and Confirm;Yeah,
Accept and Confirm;Yeah,
Accept and Confirm;Yeah, exactly. 
Accept and Confirm;Yeah, it's a little messy
Accept and Confirm;Yeah, it's a lot of rules, right.
Accept and Confirm;Yeah, right, right
